"data";"valor"
"22/03/2022";"4,9202"
"23/03/2022";"4,8698"
"24/03/2022";"4,8061"
"25/03/2022";"4,7776"
"28/03/2022";"4,7899"
"29/03/2022";"4,7480"
"30/03/2022";"4,7491"
"31/03/2022";"4,7372"
"01/04/2022";"4,6978"
"04/04/2022";"4,6169"
"05/04/2022";"4,6394"
"06/04/2022";"4,6961"
"07/04/2022";"4,7416"
"08/04/2022";"4,7507"
"11/04/2022";"4,7019"
"12/04/2022";"4,6477"
"13/04/2022";"4,6805"
"14/04/2022";"4,7152"
"18/04/2022";"4,6740"
"19/04/2022";"4,6658"
"20/04/2022";"4,6391"
"22/04/2022";"4,7320"
"25/04/2022";"4,8812"
"26/04/2022";"4,9660"
"27/04/2022";"5,0161"
"28/04/2022";"5,0104"
"29/04/2022";"4,9185"
"02/05/2022";"5,0260"
"03/05/2022";"5,0161"
"04/05/2022";"5,0087"
"05/05/2022";"5,0045"
"06/05/2022";"5,0744"
"09/05/2022";"5,1334"
"10/05/2022";"5,1384"
"11/05/2022";"5,1238"
"12/05/2022";"5,1476"
"13/05/2022";"5,1069"
"16/05/2022";"5,0660"
"17/05/2022";"4,9670"
"18/05/2022";"4,9586"
"19/05/2022";"4,9192"
"20/05/2022";"4,8771"
"23/05/2022";"4,7967"
"24/05/2022";"4,8100"
"25/05/2022";"4,8353"
"26/05/2022";"4,7961"
"27/05/2022";"4,7428"
"30/05/2022";"4,7210"
"31/05/2022";"4,7283"
"01/06/2022";"4,7759"
"02/06/2022";"4,7873"
"03/06/2022";"4,7950"
"06/06/2022";"4,7833"
"07/06/2022";"4,8903"
"08/06/2022";"4,8705"
"09/06/2022";"4,8945"
"10/06/2022";"4,9830"
"13/06/2022";"5,1027"
"14/06/2022";"5,1197"
"15/06/2022";"5,1113"
"17/06/2022";"5,1307"
"20/06/2022";"5,1635"
"21/06/2022";"5,1456"
"22/06/2022";"5,1503"
"23/06/2022";"5,1827"
"24/06/2022";"5,2328"
"27/06/2022";"5,2208"
"28/06/2022";"5,2173"
"29/06/2022";"5,2262"
"30/06/2022";"5,2374"
"01/07/2022";"5,3136"
"04/07/2022";"5,3032"
"05/07/2022";"5,3893"
"06/07/2022";"5,4315"
"07/07/2022";"5,3634"
"08/07/2022";"5,3080"
"11/07/2022";"5,3471"
"12/07/2022";"5,4114"
"13/07/2022";"5,3987"
"14/07/2022";"5,4562"
"15/07/2022";"5,4008"
"18/07/2022";"5,3669"
"19/07/2022";"5,3898"
"20/07/2022";"5,4282"
"21/07/2022";"5,4744"
"22/07/2022";"5,4516"
"25/07/2022";"5,4138"
"26/07/2022";"5,3602"
"27/07/2022";"5,3068"
"28/07/2022";"5,2143"
"29/07/2022";"5,1878"
"01/08/2022";"5,1600"
"02/08/2022";"5,2323"
"03/08/2022";"5,2840"
"04/08/2022";"5,2403"
"05/08/2022";"5,2159"
"08/08/2022";"5,1241"
"09/08/2022";"5,1218"
"10/08/2022";"5,0491"
"11/08/2022";"5,1121"
"12/08/2022";"5,1017"
"15/08/2022";"5,0919"
"16/08/2022";"5,1334"
"17/08/2022";"5,1779"
"18/08/2022";"5,1767"
"19/08/2022";"5,1955"
"22/08/2022";"5,1703"
"23/08/2022";"5,1024"
"24/08/2022";"5,1044"
"25/08/2022";"5,1167"
"26/08/2022";"5,0897"
"29/08/2022";"5,0423"
"30/08/2022";"5,0611"
"31/08/2022";"5,1784"
"01/09/2022";"5,2001"
"02/09/2022";"5,1872"
"05/09/2022";"5,1680"
"06/09/2022";"5,2222"
"08/09/2022";"5,2149"
"09/09/2022";"5,1627"
"12/09/2022";"5,1177"
"13/09/2022";"5,1788"
"14/09/2022";"5,1768"
"15/09/2022";"5,2205"
"16/09/2022";"5,2876"
"19/09/2022";"5,2361"
"20/09/2022";"5,1699"
"21/09/2022";"5,1686"
"22/09/2022";"5,1671"
"23/09/2022";"5,2251"
"26/09/2022";"5,3542"
"27/09/2022";"5,3502"
"28/09/2022";"5,3588"
"29/09/2022";"5,3910"
"30/09/2022";"5,4060"
"03/10/2022";"5,1996"
"04/10/2022";"5,1405"
"05/10/2022";"5,2138"
"06/10/2022";"5,2002"
"07/10/2022";"5,2215"
"10/10/2022";"5,1935"
"11/10/2022";"5,2061"
"13/10/2022";"5,3011"
"14/10/2022";"5,2818"
"17/10/2022";"5,2707"
"18/10/2022";"5,2691"
"19/10/2022";"5,2802"
"20/10/2022";"5,2170"
"21/10/2022";"5,1913"
"24/10/2022";"5,2738"
"25/10/2022";"5,3085"
"26/10/2022";"5,3242"
"27/10/2022";"5,2997"
"28/10/2022";"5,3449"
"31/10/2022";"5,2564"
"01/11/2022";"5,1494"
"03/11/2022";"5,1343"
"04/11/2022";"5,0354"
"07/11/2022";"5,0880"
"08/11/2022";"5,1738"
"09/11/2022";"5,1623"
"10/11/2022";"5,3058"
"11/11/2022";"5,3045"
"14/11/2022";"5,3007"
"16/11/2022";"5,3198"
"17/11/2022";"5,4649"
"18/11/2022";"5,3471"
"21/11/2022";"5,3253"
"22/11/2022";"5,3333"
"23/11/2022";"5,3924"
"24/11/2022";"5,3143"
"25/11/2022";"5,3502"
"28/11/2022";"5,3791"
"29/11/2022";"5,3070"
"30/11/2022";"5,2935"
"01/12/2022";"5,1942"
"02/12/2022";"5,1968"
"05/12/2022";"5,2457"
"06/12/2022";"5,2390"
"07/12/2022";"5,2202"
"08/12/2022";"5,2085"
"09/12/2022";"5,2390"
"12/12/2022";"5,3060"
"13/12/2022";"5,2663"
"14/12/2022";"5,3400"
"15/12/2022";"5,3177"
"16/12/2022";"5,2801"
"19/12/2022";"5,3154"
"20/12/2022";"5,2421"
"21/12/2022";"5,2025"
"22/12/2022";"5,1865"
"23/12/2022";"5,1439"
"26/12/2022";"5,1866"
"27/12/2022";"5,2826"
"28/12/2022";"5,2730"
"29/12/2022";"5,2171"
"30/12/2022";"5,2171"
"02/01/2023";"5,3430"
"03/01/2023";"5,3753"
"04/01/2023";"5,4453"
"05/01/2023";"5,4020"
"06/01/2023";"5,2849"
"09/01/2023";"5,2961"
"10/01/2023";"5,2389"
"11/01/2023";"5,2014"
"12/01/2023";"5,1394"
"13/01/2023";"5,1140"
"16/01/2023";"5,1109"
"17/01/2023";"5,1197"
"18/01/2023";"5,0903"
"19/01/2023";"5,2138"
"20/01/2023";"5,1980"
"23/01/2023";"5,1916"
"24/01/2023";"5,1690"
"25/01/2023";"5,1036"
"26/01/2023";"5,0945"
"27/01/2023";"5,0761"
"30/01/2023";"5,0953"
"31/01/2023";"5,0987"
"01/02/2023";"5,0715"
"02/02/2023";"4,9895"
"03/02/2023";"5,1024"
"06/02/2023";"5,1757"
"07/02/2023";"5,1689"
"08/02/2023";"5,2030"
"09/02/2023";"5,2309"
"10/02/2023";"5,2520"
"13/02/2023";"5,1828"
"14/02/2023";"5,1501"
"15/02/2023";"5,2237"
"16/02/2023";"5,2426"
"17/02/2023";"5,2006"
"22/02/2023";"5,1724"
"23/02/2023";"5,1324"
"24/02/2023";"5,1785"
"27/02/2023";"5,1954"
"28/02/2023";"5,2072"
"01/03/2023";"5,2064"
"02/03/2023";"5,2074"
"03/03/2023";"5,2031"
"06/03/2023";"5,1964"
"07/03/2023";"5,1895"
"08/03/2023";"5,1381"
"09/03/2023";"5,1347"
"10/03/2023";"5,1816"
"13/03/2023";"5,2394"
"14/03/2023";"5,2356"
"15/03/2023";"5,2975"
"16/03/2023";"5,2886"
"17/03/2023";"5,2673"
"20/03/2023";"5,2461"
"21/03/2023";"5,2438"
"22/03/2023";"5,2642"
"23/03/2023";"5,2626"
"24/03/2023";"5,2915"
"27/03/2023";"5,2300"
"28/03/2023";"5,1727"
"29/03/2023";"5,1487"
"30/03/2023";"5,1248"
"31/03/2023";"5,0798"
"03/04/2023";"5,0631"
"04/04/2023";"5,0756"
"05/04/2023";"5,0441"
"06/04/2023";"5,0677"
"10/04/2023";"5,0828"
"11/04/2023";"5,0122"
"12/04/2023";"4,9490"
"13/04/2023";"4,9091"
"14/04/2023";"4,9449"
"17/04/2023";"4,9415"
"18/04/2023";"4,9672"
"19/04/2023";"5,0461"
"20/04/2023";"5,0491"
"24/04/2023";"5,0589"
"25/04/2023";"5,0607"
"26/04/2023";"5,0579"
"27/04/2023";"5,0144"
"28/04/2023";"5,0001"
"02/05/2023";"5,0329"
"03/05/2023";"5,0221"
"04/05/2023";"5,0100"
"05/05/2023";"4,9690"
"08/05/2023";"4,9690"
"09/05/2023";"5,0001"
"10/05/2023";"4,9541"
"11/05/2023";"4,9690"
"12/05/2023";"4,9228"
"15/05/2023";"4,9097"
"16/05/2023";"4,9116"
"17/05/2023";"4,9507"
"18/05/2023";"4,9641"
"19/05/2023";"4,9852"
"22/05/2023";"4,9674"
"23/05/2023";"4,9668"
"24/05/2023";"4,9468"
"25/05/2023";"4,9984"
"26/05/2023";"5,0108"
"29/05/2023";"4,9948"
"30/05/2023";"5,0587"
"31/05/2023";"5,0953"
"01/06/2023";"5,0344"
"02/06/2023";"4,9552"
"05/06/2023";"4,9230"
"06/06/2023";"4,9286"
"07/06/2023";"4,9113"
"09/06/2023";"4,8916"
"12/06/2023";"4,8826"
"13/06/2023";"4,8527"
"14/06/2023";"4,8456"
"15/06/2023";"4,8216"
"16/06/2023";"4,8280"
"19/06/2023";"4,7797"
"20/06/2023";"4,7924"
"21/06/2023";"4,7789"
"22/06/2023";"4,7744"
"23/06/2023";"4,7793"
"26/06/2023";"4,7692"
"27/06/2023";"4,7897"
"28/06/2023";"4,8557"
"29/06/2023";"4,8578"
"30/06/2023";"4,8186"
"03/07/2023";"4,7870"
"04/07/2023";"4,8050"
"05/07/2023";"4,8571"
"06/07/2023";"4,8971"
"07/07/2023";"4,8793"
"10/07/2023";"4,8729"
"11/07/2023";"4,8943"
"12/07/2023";"4,8052"
"13/07/2023";"4,8032"
"14/07/2023";"4,7951"
"17/07/2023";"4,8296"
"18/07/2023";"4,8034"
"19/07/2023";"4,7994"
"20/07/2023";"4,7882"
"21/07/2023";"4,7726"
"24/07/2023";"4,7451"
"25/07/2023";"4,7490"
"26/07/2023";"4,7362"
"27/07/2023";"4,7196"
"28/07/2023";"4,7247"
"31/07/2023";"4,7409"
"01/08/2023";"4,7746"
"02/08/2023";"4,8077"
"03/08/2023";"4,8791"
"04/08/2023";"4,8603"
"07/08/2023";"4,9004"
"08/08/2023";"4,9211"
"09/08/2023";"4,9009"
"10/08/2023";"4,8512"
"11/08/2023";"4,8912"
"14/08/2023";"4,9475"
"15/08/2023";"4,9806"
"16/08/2023";"4,9765"
"17/08/2023";"4,9810"
"18/08/2023";"4,9718"
"21/08/2023";"4,9841"
"22/08/2023";"4,9425"
"23/08/2023";"4,8971"
"24/08/2023";"4,8742"
"25/08/2023";"4,8766"
"28/08/2023";"4,8933"
"29/08/2023";"4,8700"
"30/08/2023";"4,8647"
"31/08/2023";"4,9213"
"01/09/2023";"4,9312"
"04/09/2023";"4,9170"
"05/09/2023";"4,9699"
"06/09/2023";"4,9756"
"08/09/2023";"4,9829"
"11/09/2023";"4,9360"
"12/09/2023";"4,9499"
"13/09/2023";"4,9165"
"14/09/2023";"4,8745"
"15/09/2023";"4,8683"
"18/09/2023";"4,8529"
"19/09/2023";"4,8569"
"20/09/2023";"4,8481"
"21/09/2023";"4,9223"
"22/09/2023";"4,9125"
"25/09/2023";"4,9600"
"26/09/2023";"4,9711"
"27/09/2023";"5,0283"
"28/09/2023";"5,0469"
"29/09/2023";"5,0070"
"02/10/2023";"5,0673"
"03/10/2023";"5,1094"
"04/10/2023";"5,1520"
"05/10/2023";"5,1707"
"06/10/2023";"5,1912"
"09/10/2023";"5,1660"
"10/10/2023";"5,0856"
"11/10/2023";"5,0490"
"13/10/2023";"5,0619"
"16/10/2023";"5,0612"
"17/10/2023";"5,0378"
"18/10/2023";"5,0562"
"19/10/2023";"5,0534"
"20/10/2023";"5,0522"
"23/10/2023";"5,0158"
"24/10/2023";"5,0059"
"25/10/2023";"4,9975"
"26/10/2023";"5,0049"
"27/10/2023";"4,9474"
"30/10/2023";"5,0068"
"31/10/2023";"5,0569"
"01/11/2023";"5,0188"
"03/11/2023";"4,8904"
"06/11/2023";"4,8993"
"07/11/2023";"4,8664"
"08/11/2023";"4,8849"
"09/11/2023";"4,9001"
"10/11/2023";"4,9213"
"13/11/2023";"4,9240"
"14/11/2023";"4,8676"
"16/11/2023";"4,8569"
"17/11/2023";"4,8843"
"20/11/2023";"4,8717"
"21/11/2023";"4,8800"
"22/11/2023";"4,8962"
"23/11/2023";"4,8925"
"24/11/2023";"4,8921"
"27/11/2023";"4,8945"
"28/11/2023";"4,8861"
"29/11/2023";"4,8927"
"30/11/2023";"4,9349"
"01/12/2023";"4,9185"
"04/12/2023";"4,9085"
"05/12/2023";"4,9516"
"06/12/2023";"4,9025"
"07/12/2023";"4,8943"
"08/12/2023";"4,9152"
"11/12/2023";"4,9434"
"12/12/2023";"4,9470"
"13/12/2023";"4,9573"
"14/12/2023";"4,8906"
"15/12/2023";"4,9391"
"18/12/2023";"4,9393"
"19/12/2023";"4,8657"
"20/12/2023";"4,8760"
"21/12/2023";"4,8749"
"22/12/2023";"4,8613"
"26/12/2023";"4,8362"
"27/12/2023";"4,8300"
"28/12/2023";"4,8407"
"29/12/2023";"4,8407"
